FID,District ,Block,Village,Typeof Observationl Well,Latitude,Longitude,WQL,WQL Category
1607,Hisar,Uklana,Litani,Dug well,29.47998914,75.98147354,3512,
1608,Hisar,Uklana,Nehala,Dug well,29.43355692,75.73452633,2875,
1609,Hisar,Uklana,Parbhuwala,Dug well,29.48428673,75.90391872,1590,
1610,Hisar,Uklana,Pabra,Dug well,29.41,75.78,1870,
1611,Hisar,Uklana,Sahu,Dug well,29.5,75.83,1585,
1612,Hisar,Uklana,Sadlana,T/Reported,29.421,76.07,2538,
1613,Hisar,Uklana,Uklana,KOW/Dug well,29.50879177,75.87681889,4551,
1614,Hisar,Uklana,Kallar Bhaini,T/Reported,29.47116944,75.93404873,1440,
1615,Fatehabad,Fatehabad,Birdhana,T/Reported,29.54347004,75.54886173,1975,
1616,Fatehabad,Fatehabad,Bigar,Dug well,29.44947918,75.45505816,1790,
1617,Fatehabad,Fatehabad,Bhodia Khera,T/Reported,29.48596842,75.42504791,3070,
1618,Fatehabad,Fatehabad,Badopal,Dug well,29.41,75.55,6780,
1619,Fatehabad,Fatehabad,Bangaon,T/Reported,29.44553833,75.42361324,1235,
1620,Fatehabad,Fatehabad,Bhuthan Kalan,T/Reported,29.54542894,75.59534362,2551,
1621,Fatehabad,Fatehabad,Chindhar,T/Reported,29.37,75.54,20070,
1622,Fatehabad,Fatehabad,Dharnia,Dug well,29.408,75.508,3274,
1623,Fatehabad,Fatehabad,Dariapur,T/Reported,29.46,75.51,1790,
1624,Fatehabad,Fatehabad,Dhangar,KOW,29.46998356,75.51150804,1830,
1625,Fatehabad,Fatehabad,Hizrowan Kalan,T/Reported,29.55632683,75.40036632,1775,
1626,Fatehabad,Fatehabad,Jhalania,T/Reported,29.51789429,75.55743745,1245,
1627,Fatehabad,Fatehabad,Kharati Khera,T/Reported,29.49756654,75.36883331,2467,
1628,Fatehabad,Fatehabad,Kajal Heri,T/Reported,29.43,75.6,1230,
1629,Fatehabad,Fatehabad,Kharakheri,Dug well,29.384276,75.57894604,1695,
1630,Fatehabad,Fatehabad,Khumber,T/Reported,29.59449762,75.49318279,1555,
1631,Fatehabad,Fatehabad,Mohomadpur Rohi,T/Reported,29.4538552,75.56313155,1235,
1632,Fatehabad,Fatehabad,Manawali,T/Reported,29.47502065,75.38807929,1153,
1633,Fatehabad,Fatehabad,Matana,T/Reported,29.47505551,75.47766811,1535,
1634,Fatehabad,Fatehabad,Khajuri,T/Reported,29.48,75.61,1285,
1635,Fatehabad,Fatehabad,Karnoli,Dug-cum-bore,29.543,75.314,1625,
1636,Fatehabad,Fatehabad,Sadar Ahli,T/Reported,29.571,75.334,1670,
1637,Fatehabad,Fatehabad,Mallahar,T/Reported,29.579,75.454,1328,
1638,Fatehabad,Fatehabad,Salam Khera,T/Reported,29.429,75.504,3877,
1639,Fatehabad,Fatehabad,Ayalki IW,T/Reported,29.56617801,75.49772173,1288,
1640,Fatehabad,Ratia,Alalwas,P/T,29.71142492,75.48214036,2722,
1641,Fatehabad,Ratia,Aharwa,P/T,29.6,75.53,1565,
1642,Fatehabad,Ratia,Bamanwala,T/Reported,29.75881017,75.54491345,2590,
1643,Fatehabad,Ratia,Bhundharwas,Reported,29.73142817,75.60099341,3865,
1644,Fatehabad,Ratia,Ghaswa,Reported,29.67931786,75.6741265,2576,
1645,Fatehabad,Ratia,Hanspur,Injection Well/Working,29.65,75.34,3261,
1646,Fatehabad,Ratia,Khai,T/Reported,29.74757838,75.45429753,2590,
1647,Fatehabad,Ratia,Kamana,T/Reported,29.69662461,75.59912533,3578,
1648,Fatehabad,Ratia,Lamba,T/Reported,29.70952256,75.65733096,3810,
1649,Fatehabad,Ratia,Nagpur,I.W working,29.65140881,75.41766021,3470,
1650,Fatehabad,Ratia,Nangal,T/Reported,29.75798029,75.50084248,2564,
1651,Fatehabad,Ratia,Nimari,T/Reported,29.66325425,75.47166189,2070,
1652,Fatehabad,Ratia,Phullan,P/T,29.62,75.51,1885,
1653,Fatehabad,Ratia,Pilchhian,T/Reported,29.75789034,75.41776989,2336,
1654,Fatehabad,Ratia,Ratta Khera,T/Reported,29.66,75.51,1495,
1655,Fatehabad,Ratia,Nikuwana,P/T,29.73267997,75.62881295,1380,
1656,Fatehabad,Ratia,Kalotha,T/Reported,29.73394308,75.45101434,1740,
1657,Fatehabad,Ratia,Ratia,P/T working,29.68,75.56,1765,
1658,Fatehabad,Ratia,Hukamawali,P/T working,29.68161935,75.44131964,2960,
1659,Fatehabad,Ratia,Munshiwali,P/T working,29.65,75.59,1990,
1660,Fatehabad,Ratia,Ladhuwas,T/Reported,29.792,75.468,1866,
1661,Fatehabad,Ratia,Badalgarh,T/Reported,29.758,75.66,1427,
1662,Fatehabad,Ratia,Birabadi,P/T,29.686,75.363,1770,
1663,Fatehabad,Ratia,Madh,P/T,29.716,75.4,1230,
1664,Fatehabad,Ratia,Baliayala,T/Reported,29.731,75.521,1090,
1665,Fatehabad,Ratia,Ratangarh,T/Reported,29.71879208,75.56827588,1965,
1666,Fatehabad,Ratia,Nathwan,T/Reported,29.671,75.638,1745,
1667,Fatehabad,Ratia,Nakta,P/T,29.623,75.384,2710,
1668,Fatehabad,Ratia,Bharpur,T/Reported,29.657,75.534,1350,
1669,Fatehabad,Ratia,Chando Kalan,I.W working,29.64,75.624,2140,
1670,Fatehabad,Ratia,Budanpur,T/Reported,29.71435534,75.81199481,1270,
1671,Fatehabad,Ratia,Gandha,T/Reported,29.697,75.379,1868,
1672,Fatehabad,Ratia,Haroli,I.W working,29.653,75.468,2275,
1673,Fatehabad,Ratia,Pulsar,P/T,29.601,75.587,1251,
1674,Fatehabad,Tohana,Amani,P.T.,29.67605128,75.8554045,2780,
1675,Fatehabad,Tohana,Akan Wali,T/Reported,29.67778452,75.78383934,2542,
1676,Fatehabad,Tohana,Baliyanwala,T/Reported,29.71132086,75.93274531,3665,
1677,Fatehabad,Tohana,Badhai Khera,T/Reported,29.66266019,75.89361782,2510,
1678,Fatehabad,Tohana,Budanpur,T/Reported,29.7126854,75.81023,3170,
1679,Fatehabad,Tohana,Dharsul Khurd,T/Reported,29.67703481,75.72830385,1520,
1680,Fatehabad,Tohana,Fathepuri,T/Reported,29.64178979,75.84014749,2665,
1681,Fatehabad,Tohana,Indachhui,T/Reported,29.63530683,75.79181731,2960,
1682,Fatehabad,Tohana,Kanhari,I.Wworking,29.66639169,75.93038254,5435,
1683,Fatehabad,Tohana,Kullan,P/T,29.65591998,75.73498418,2774,
1684,Fatehabad,Tohana,Kamalwala,Dug well,29.69041191,75.92464489,3246,
1685,Fatehabad,Tohana,Malaheri,T/Reported,29.65,75.91,4471,
1686,Fatehabad,Tohana,Dhamkora,P.T.,29.71785593,75.86982398,2665,
1687,Fatehabad,Tohana,Nangla,Dug well,29.61,75.89,3373,
1688,Fatehabad,Tohana,Jamalpur Sekhan,T/Reported,29.70111308,75.83392315,1705,
1689,Fatehabad,Tohana,Gajuwala,Dug well,29.577,75.887,3710,
1690,Fatehabad,Tohana,Parta,T/Reported,29.57129424,75.8436913,3545,
1691,Fatehabad,Tohana,Simbalwal,P.T.,29.74018874,75.8763796,2870,
1692,Fatehabad,Tohana,Tohana,I.Working,29.71,75.9,1836,
1693,Fatehabad,Tohana,Tharwa,I.Wwrking,29.61886929,75.83136771,2534,
1694,Fatehabad,Tohana,Rasulpur,T/Reported,29.634,75.685,3775,
1695,Fatehabad,Jakhal,Chandpura,T/Reported,29.77640339,75.73136121,1215,
1696,Fatehabad,Jakhal,Jakhal Village,P.T.Working,29.79318902,75.82413463,1274,
1697,Fatehabad,Jakhal,Musa Khera,P.T.Working,29.73034571,75.70225178,1811,
1698,Fatehabad,Jakhal,Narel,P.T.Working,29.75905158,75.82030361,1393,
1699,Fatehabad,Jakhal,Sidhani,P.T.Working,29.79083141,75.7300614,1770,
1700,Fatehabad,Jakhal,Sadhanwas,T/Reported,29.797,75.769,1825,
1701,Fatehabad,Jakhal,Hederwali,T/Reported,29.70775475,75.79909545,1910,
1702,Fatehabad,Jakhal,Meond Begamwali,P.T.Working,29.754,75.776,1295,
1703,Fatehabad,Bhuna,Bhuna,KOW.Working,29.52752245,75.70420664,12765,
1704,Fatehabad,Bhuna,Chobara,T/Reported,29.47536529,75.67006296,5832,
1705,Fatehabad,Bhuna,Bajalpur,Dug well,29.48470792,75.70379864,1399,
1706,Fatehabad,Bhuna,Dhani Gopal,T/Reported,29.51525275,75.76839302,1796,
1707,Fatehabad,Bhuna,Dholu,T/Reported,29.58969748,75.67433304,1731,
1708,Fatehabad,Bhuna,Dult,T/Reported,29.55690972,75.72282823,2790,
1709,Fatehabad,Bhuna,Gorakhpur,Dug well,29.44135047,75.66225577,7424,
1710,Fatehabad,Bhuna,Jandli Kalan,Dug well,29.48759447,75.6317228,3565,
1711,Fatehabad,Bhuna,Jandli Khurd,Dug well,29.51954646,75.64414112,1498,
1712,Fatehabad,Bhuna,Khairi,Dug well,29.53128465,75.66970331,1173,
1713,Fatehabad,Bhuna,Laharian,T/Reported,29.62024256,75.72948187,1760,
1714,Fatehabad,Bhuna,Mochiwali,Dug well,29.49401758,75.67532634,3427,
1715,Fatehabad,Bhuna,Nadhori,T/Reported,29.56,75.65,1218,
1716,Fatehabad,Bhuna,Bhattu,T/Reported,29.57199535,75.76181775,6487,
1717,Fatehabad,Bhuna,Saniyana,Dug well,29.53,75.82,3397,
1718,Fatehabad,Bhuna,Tibi,T/Reported,29.6,75.705,1644,
1719,Fatehabad,Bhuna,Bhuthan Khurd,T/Reported,29.567,75.6,1967,
1720,Fatehabad,Bhuna,Bawan,T/Reported,29.59289046,75.7913987,4385,
1721,Fatehabad,Bhuna,Bosti,Dug well,29.572,75.801,2390,
1722,Fatehabad,Bhuna,Chandrawal,T/Reported,29.521,75.616,1810,
1723,Fatehabad,Bhuna,Sanchala,T/Reported,29.55301627,75.77368349,2891,
1724,Fatehabad,Bhuna,Dahman,T/Reported,29.45230453,75.7120029,2899,
1725,Fatehabad,Bhattu Kalan,Banawali,T/Reported,29.59666394,75.39480774,12679,
1726,Fatehabad,Bhattu Kalan,Ban Mandori,T/Reported,29.4,75.28,5581,
1727,Fatehabad,Bhattu Kalan,Bodiwali,Dug well,29.46769164,75.29890382,2775,
1728,Fatehabad,Bhattu Kalan,Bhattu Kalan,P/Tube,29.37813821,75.32966682,9840,
1729,Fatehabad,Bhattu Kalan,Chuli Bagrian,Dug well,29.3225515,75.35703188,2290,
1730,Fatehabad,Bhattu Kalan,Chuli Khurd,Dug well,29.34689605,75.32689464,3520,
1731,Fatehabad,Bhattu Kalan,Dayar,T/Reported,29.26540546,75.25505442,3161,
1732,Fatehabad,Bhattu Kalan,Dhabi Kalan,T/Reported,29.32534765,75.32072551,1273,
1733,Fatehabad,Bhattu Kalan,Dhingsara,T/Reported,29.43820212,75.36255118,6576,
1734,Fatehabad,Bhattu Kalan,Gadli,T/Reported,29.32567732,75.34202818,2127,
1735,Fatehabad,Bhattu Kalan,Jandwala,T/Reported,29.31107031,75.25548273,3317,
1736,Fatehabad,Bhattu Kalan,Kirdhan,Dug well,29.39756383,75.40015408,2717,
1737,Fatehabad,Bhattu Kalan,Mehuwala,T/Reported,29.40385658,75.31508413,4260,
1738,Fatehabad,Bhattu Kalan,Pili Mandori,T/Reported,29.38,75.25,5656,
1739,Fatehabad,Bhattu Kalan,Ramsara,T/Reported,29.39338076,75.37640717,1767,
1740,Fatehabad,Bhattu Kalan,Shekhupur Daroli,T/Reported,29.29975503,75.25914804,12385,
1741,Fatehabad,Bhattu Kalan,Suli Khera,Dug well,29.36,75.36,6180,
1742,Fatehabad,Bhattu Kalan,Thuyan,Dug well,29.33500751,75.28344754,3166,
1743,Fatehabad,Bhattu Kalan,Dhabi Khurd,Dug well,29.32557902,75.27900702,1651,
1744,Fatehabad,Bhattu Kalan,Sarwarpur,T/Reported,29.47798764,75.32446416,6480,
1745,Fatehabad,Bhattu Kalan,Dhandh,Dug well,29.31512254,75.34478377,2087,
1746,Fatehabad,Bhattu Kalan,Khabra Kalan,Dug well,29.33110283,75.36760995,2499,
1747,Fatehabad,Bhattu Kalan,Sirdhan,Dug well,29.431,75.407,1314,
1748,Fatehabad,Bhattu Kalan,Bhodia Boshnoian,T/Reported,29.35169468,75.59144165,2517,
